auausten,password123,auausten@yahoo.com,Peanut,"[1234567890909090, 253]"
MrDunne,Baulko11!!,ryan.dunne9@det.nsw.edu.au,Kingnut,"[1234567890909080, 565]"
kayhan67,12345678,kayhanfromthecakirs@gmail.com,Peanut,"[1234527890909090, 954]"
PrivateAgentBob,password1111,ghguhuhoa@hotmail.com,Peanut,"[1294567890909090, 312]"
Sriram,bigs6767,gamer@gmail.com,Kingnut,"[1234517890909090, 987]"
Hacker1337,secretpassword,bigiismalls@icloud.com,Peanut,"[1214567890909090, 235]"
LionelMessi,incorrect,thegoat@gmail.com,Kingnut,"[1234567890909090, 745]"
tripleT,6767676767,tungtungtung@gmail.com,Kingnut,"[1234567840909090, 443]"
bobby2,bigbobby,bobbythesigma@gmail.com,Peanut,"[1234567890909070, 199"
CEOofNutflix,correct,NutflixCEO@yahoo.com,Kingnut,"[1234567896909090, 202]"
